No,Study Action Number,Study Name,Facility,Project Phase,Cause,Consequence,Safeguard,Initial Risk,Recommendations,Residual Risk,Organisations,Discipline,Sub-Discipline,Future Actions,Due Date,Guideword,QueSeries,Deviation
1,CRA-DSV/PRECOMM - 001,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. PTWs prepared and drafted by Contractors not meeting Operations expectation - PTWs were invalid and requires rework

(Lesson Learned from previous work campaign)

2. Unclear PTW demarcations for implementation at site","1. Delays to complete work campaign due to work coordination issues at site.

2. Reworks at site to prepare and review ePTWs, resulting in delays to complete work campaign activities.",,,"To ensure that a dedicated SFSB DPDSV T&I work campaign PTW coordinator is mobilized to CPP, prior to planned work campaign team mobilization, to allow early ePTW site interface engagement, preparation and coordination with Hess site Operations team. 
To also submit CV of proposed PTW coordinator to Hess for review and appraisal.
",,SFSB,EHS,EHS,,18/06/2021,,,
2,CRA-DSV/PRECOMM - 002,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. PTWs prepared and drafted by Contractors not meeting Operations expectation - PTWs were invalid and requires rework

(Lesson Learned from previous work campaign)

2. Unclear PTW demarcations for implementation at site","1. Delays to complete work campaign due to work coordination issues at site.

2. Reworks at site to prepare and review ePTWs, resulting in delays to complete work campaign activities.",,,"To develop a DPDSV and Pre-Comm vessel T&I activities PTW list / matrix to show demarcation on use of Hess ePTW and Vessel PTW during work campaign. To then confirm PTW implementation with Hess, e.g. during CPP riser clamp installation, umbilical pull-in, etc. 


",,SFSB,EHS,EHS,,18/06/2021,,,
3,CRA-DSV/PRECOMM - 003,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. PTWs prepared and drafted by Contractors not meeting Operations expectation - PTWs were invalid and requires rework

(Lesson Learned from previous work campaign)

2. Unclear PTW demarcations for implementation at site","1. Delays to complete work campaign due to work coordination issues at site.

2. Reworks at site to prepare and review ePTWs, resulting in delays to complete work campaign activities.",,,"To ensure that draft Hess ePTWs for all DPDSV T&I work campaign activities are submitted and verified by Hess, 2 weeks prior to mobilization to site. 

",,SFSB,EHS,EHS,,18/06/2021,,,
4,CRA-DSV/PRECOMM - 004,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. PTWs prepared and drafted by Contractors not meeting Operations expectation - PTWs were invalid and requires rework

(Lesson Learned from previous work campaign)

2. Unclear PTW demarcations for implementation at site","1. Delays to complete work campaign due to work coordination issues at site.

2. Reworks at site to prepare and review ePTWs, resulting in delays to complete work campaign activities.",,,"To ensure that draft Hess ePTWs for pipeline pre-commissioning work activities are submitted and verified by Hess, 2 weeks prior to mobilization to site.",,SFSB,EHS,EHS,,18/06/2021,,,
5,CRA-DSV/PRECOMM - 005,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. PPE requirement as specified in work procedures and job cards not observed at site and monitored closely 
e.g. PPE Matrix has been approved and circulated but due to some adhoc mobilization, some of the sub-contractors mobbed without impact glove and ear muffs, dark glasses were used in non-suitable area, etc.

2. Incorrect or improper PPE, e.g. worn out, incorrect PPE for work activities (non-fire retardant coverall, improper safety boots, etc.)

(Lesson Learned from previous work campaign)","1. Unsafe acts, unsafe conditions resulting in increased risks of personnel injuries.",,,"To ensure spare PPEs are provided and stored onboard DPDSV. The spare PPE list to be reviewed as part of vessel pre-mobilization inspections.

",,SFSB,EHS,EHS,,18/06/2021,,,
6,CRA-DSV/PRECOMM - 006,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. PPE requirement as specified in work procedures and job cards not observed at site and monitored closely 
e.g. PPE Matrix has been approved and circulated but due to some adhoc mobilization, some of the sub-contractors mobbed without impact glove and ear muffs, dark glasses were used in non-suitable area, etc.

2. Incorrect or improper PPE, e.g. worn out, incorrect PPE for work activities (non-fire retardant coverall, improper safety boots, etc.)

(Lesson Learned from previous work campaign)","1. Unsafe acts, unsafe conditions resulting in increased risks of personnel injuries.",,,To ensure spare PPEs are provided and stored onboard Pre-Commissioning vessel. The spare PPE list to be reviewed as part of vessel pre-mobilization inspections.,,SFSB,EHS,EHS,,18/06/2021,,,
7,CRA-DSV/PRECOMM - 007,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"12. Work campaign schedule not aligned to agreed updates on Project plan and mobilization plan, or not aligned to sequencing of work activities from Project interface discussions","1. Unclear work campaign expectations and timelines escalating to work coordinations issues with CPP, resourcing constraints, material or package support sourcing issues, etc. resulting in delays to complete Project planned work activities",,,"To ensure Project T&I work campaign schedule is updated to latest confirmed work plan to perform activities at offshore site continuously, and then formally communicate to all parties involved, i.e. Hess, HT, third party contractors, etc. 

(Current work campaign schedule shows work activity sequenced with other SFSB works at Kasawari field)",,SFSB,PMT,PMT,,18/06/2021,,,
8,CRA-DSV/PRECOMM - 008,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. High POB during Shutdown campaign - Use of BRG CPP Accommodation facilities - e.g. toilets, rests area, mess room, smoking area, etc.

- Max POB expected at CPP is up to 150 pax
- Shutdown HUC personnel ~52 to 65 pax
(30 pax based at CPP and remaining on HUC vessel, as per early work campaign planning information)
- Shutdown T&I personnel ~35 pax","1. Crowded CPP accommodation area leading to disruptions to daily activities, hygiene issues - personnel health impacts, delays to work activities at site due to personnel waiting to use limited number of facilities 

",,,"To confirm how meals from DPDSV will be transferred onboard CPP and also ensure personnel safely commute within CPP when transferring meals, e.g. using food bags, etc. (From previous campaign at CPP, there were observations on personnel not holding on to handrails when walking with hand carry meal bags).",,SFSB,EHS,EHS,,18/06/2021,,,
9,CRA-DSV/PRECOMM - 009,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Unable to communicate through email from vessels for coordination and planning of daily work activities with CPP and Onshore (Town), due to unstable or slow internet connections at vessel

(Lesson Learned from previous work campaign)",1. Disruptions to planned work activities due to work coordination issues resulting in delays to complete work campaign,,,"To confirm available communication equipment onboard DPDSV vessel, and ensure that equipment are tested during mobilization for use during work campaign.

",,SFSB,PMT,PMT,,18/06/2021,,,
10,CRA-DSV/PRECOMM - 010,CRA-DPDSV/PRECOMM,NMB,Phase 3 - Offshore T&I Work Campaign – DPDSV & Precomm Workscope,"1. Unable to communicate through email from vessels for coordination and planning of daily work activities with CPP and Onshore (Town), due to unstable or slow internet connections at vessel

(Lesson Learned from previous work campaign)",1. Disruptions to planned work activities due to work coordination issues resulting in delays to complete work campaign,,,"To confirm available communication equipment onboard  Pre-Commissioning vessel, and ensure that equipment are tested during mobilization for use during work campaign.",,SFSB,PMT,PMT,,18/06/2021,,,
