No,Study Action Number,Study Name,Facility,Project Phase,Cause,Consequence,Safeguard,Initial Risk,Recommendations,Residual Risk,Organisations,Discipline,Sub-Discipline,Future Actions,Due Date,Guideword,Queseries,Deviation
83,DDE-DLA/TRT-KGA-SAFOP-001,SAFOP Close Out Report,KGA,DDE,"C001 - KGA: Gas Engine Generator

Insufficient battery capacity to power up GEG.

GEG has 1 starter system (battery).
DEG has 2 starter systems (battery and spring charged).","GEG may be unable to started/operated and may cause platform shutdown.

Note:
Battery is continuously charged during normal operation from the CSP.
MOC has been raised for HESS NMB Phase 1 on similar supply design.",-,-,To re-look on supply of battery charging via UPS instead from Control and Synchronisation Panel (CSP).,-,PRW,Electrical,Electrical,,30/7/2021,No,,Power
84,DDE-DLA/TRT-KGA-SAFOP-002,SAFOP Close Out Report,KGA,DDE,"C001 - KGA: Gas Engine Generator

Protection for GEG being mislook during design stage.","Equipment damage.

Note:
Sufficient protection functions for the Generator protection have been specified.
Sufficient time margin for coordination between breaker and relay has been considered.
Coordination between MCCB and MCB will be carried out by LV switchrack vendor.",-,-,"To re-look on the protection functionality at the GPR and MCCB for the GEG, e.g. primary protection by GPR and secondary/backup protection by MCCB with sufficient coordination time (for ease of troubleshooting).",-,PRW,Electrical,Electrical,,30/7/2021,Inadequate,,Protection and control
85,DDE-DLA/TRT-KGA-SAFOP-003,SAFOP Close Out Report,KGA,DDE,"C001 - KGA: Gas Engine Generator

Protection for GEG being mislook during design stage.","Equipment damage.

Note:
Sufficient protection functions for the Generator protection have been specified.
Sufficient time margin for coordination between breaker and relay has been considered.
Coordination between MCCB and MCB will be carried out by LV switchrack vendor.",-,-,To review MCCB coordination with GPR setting with regards to the recommendation to re-look the GPR/MCCB coordination.,-,PRW,Electrical,Electrical,,30/7/2021,Inadequate,,Protection and control
86,DDE-DLA/TRT-KGA-SAFOP-004,SAFOP Close Out Report,KGA,DDE,"C001 - KGA: Gas Engine Generator

No rotor earth fault protection.",Generator not fully protected against abnormal conditions.,-,-,"To check on available function at the GPR which can address rotor earth fault (64R). To enable if available. However, if the function is not available, it is acceptable based on the operation philosophy of the GEG.",-,PRW,Electrical,Electrical,,30/7/2021,Inadequate,,Protection and control
87,DDE-DLA/TRT-KGA-SAFOP-005,SAFOP Close Out Report,KGA,DDE,"C001 - KGA: Gas Engine Generator

Moisture accumulated due to long period of cold standby.","High moisture cause flash over inside terminal box.

Note:
GEG is set to changeover every 2 weeks.
GEG is supplied with anti-condensation heaters.
Current operation has no issue.",-,-,To check with GEG manufacturer recommendation on the requirement of anti-condensation heater at terminal box for GEG.,-,PRW,Electrical,Electrical,,30/7/2021,High,,Environment - Humidity
88,DDE-DLA/TRT-KGA-SAFOP-006,SAFOP Close Out Report,KGA,DDE,"C002 - KGA: Diesel Engine Generator

Insufficient diesel tank capacity for prolonged manned operation.","Generator unable to operate hence loss of power to loads during manned operation.

Note:
Main diesel tank at the skid with 24 hours (TBC) operation capacity.
There is also pedestal tank for diesel.",-,-,"To check if diesel tanks capacity is sufficient for manned operation (e.g. prolonged activities).

",-,PRW,Electrical,Electrical,,30/7/2021,No,,Power
89,DDE-DLA/TRT-KGA-SAFOP-007,SAFOP Close Out Report,KGA,DDE,"C003 - KGA: Overall Generation System

GEG trips when the other GEG is on maintenance.

Maintenance to the fuel gas heater.","Loss of supply to platform leading to shutdown.

Note:
DEG is required to start remotely.
There is auto start on standby GEG when the running GEG trips.
DEG can manual start remotely with permissive start signal from control room in CPP.
There is lockout function at GPR.",-,-,To check on the logic details for the generator premissive starting logic. Generator shall be inhibited from starting onto faulted system.,-,PRW,Electrical,Electrical,,30/7/2021,No,,Power
90,DDE-DLA/TRT-KGA-SAFOP-008,SAFOP Close Out Report,KGA,DDE,"C004 - KGA: Power Junction Box for External Supply

No mechanical interlock, however, electrical interlock and LOTO facilities are specified.

No synchronizing point at the PJB.",Electrical interlock may be defeated/bypassed.,-,-,To provide physical interlock which prevents unsynchronized connection of PDG to live busbar. Padlock facility at the MCCB should be acceptable in achieving the interlock requirement.,-,PRW,Electrical,Electrical,,30/7/2021,Not available,,Interlocking
91,DDE-DLA/TRT-KGA-SAFOP-009,SAFOP Close Out Report,KGA,DDE,"C004 - KGA: Power Junction Box for External Supply

Ignition source from the electrical circuit.",-,Suitable Ex rated equipment and accessories.,-,"To specify in design philosophy document, and incorporate into suitable document (to be discussed and agreed, e.g. notes in SLD) on the size of cable gland for PDG cable connection which is 70 mm2 (pre-rilled), at the PDG JB. Requirements to be reflected in the Vendor's General Arrangement drawings and gland plate details.

",-,PRW,Electrical,Electrical,,30/7/2021,Distribution Board,,Fire / Explosion - Flashover
92,DDE-DLA/TRT-KGA-SAFOP-010,SAFOP Close Out Report,KGA,DDE,"C006 - KGA: LV DOL Motor Feeder

Fault at anti-condensation heater.",Trip of upstream incomer breaker if not protected or properly coordinated which will lead to total power loss.,-,-,"To check on the details of anti-condensation heater circuit protection. To provide suitable protection (e.g. RCCB) such that to prevent nuisance trip of upstream incomer breaker during fault at anti-condensation heater, and to protect personnel from shock or electrocution hazard.",-,PRW,Electrical,Electrical,,30/7/2021,Over,,Current
